path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_10_x47530832_w11_s483.csv, eval_metric=0.4331261809713524, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_10_x47530832_w19_s483.csv, eval_metric=0.40881954786582714, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_10_x47530832_w27_s681.csv, eval_metric=0.6197451800358537, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_10_x47530832_w35_s719.csv, eval_metric=0.5030692976263356, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_10_x47530832_w3_s584.csv, eval_metric=0.6253053201716056, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_10_x47530832_w43_s590.csv, eval_metric=0.7616592334716404, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_10_x47530832_w51_s853.csv, eval_metric=0.5550787518254556, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_10_x47530832_w59_s920.csv, eval_metric=0.5758272866020685, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_10_x47530832_w67_s350.csv, eval_metric=0.6099476893112183, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_10_x47530832_w75_s547.csv, eval_metric=0.6674122902162738, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_12_x47530832_w12_s248.csv, eval_metric=0.2944101501880106, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_12_x47530832_w20_s640.csv, eval_metric=0.41178176679414846, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_12_x47530832_w28_s528.csv, eval_metric=0.6717024486610225, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_12_x47530832_w36_s982.csv, eval_metric=0.2945124110536674, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_12_x47530832_w44_s653.csv, eval_metric=0.3089055628671062, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_12_x47530832_w4_s804.csv, eval_metric=-0.12731749233940215, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_12_x47530832_w52_s954.csv, eval_metric=-0.045904570123491625, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_12_x47530832_w60_s857.csv, eval_metric=0.505450233572338, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_12_x47530832_w68_s88.csv, eval_metric=-0.045198107035424186, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_12_x47530832_w76_s364.csv, eval_metric=0.04693094732978831, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_14_x47530832_w13_s793.csv, eval_metric=0.6110145566829241, minimum_width=14.0, minimum_spacing=14.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_14_x47530832_w21_s956.csv, eval_metric=0.4933441475071781, minimum_width=14.0, minimum_spacing=14.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_14_x47530832_w29_s991.csv, eval_metric=-0.015906033955318734, minimum_width=14.0, minimum_spacing=14.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_14_x47530832_w37_s975.csv, eval_metric=0.3846606503653209, minimum_width=14.0, minimum_spacing=14.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_14_x47530832_w45_s878.csv, eval_metric=0.3995415966627374, minimum_width=14.0, minimum_spacing=14.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_14_x47530832_w53_s519.csv, eval_metric=0.13590112734966056, minimum_width=14.0, minimum_spacing=14.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_14_x47530832_w5_s139.csv, eval_metric=-0.15090464041143953, minimum_width=14.0, minimum_spacing=14.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_14_x47530832_w61_s667.csv, eval_metric=0.38357657678095136, minimum_width=14.0, minimum_spacing=14.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_14_x47530832_w69_s668.csv, eval_metric=0.5531241908374118, minimum_width=14.0, minimum_spacing=14.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_14_x47530832_w77_s765.csv, eval_metric=0.49026683395456616, minimum_width=14.0, minimum_spacing=14.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_16_x47530832_w14_s150.csv, eval_metric=-0.5625412063980181, minimum_width=17.0, minimum_spacing=16.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_16_x47530832_w22_s167.csv, eval_metric=-1.0233996547226147, minimum_width=16.0, minimum_spacing=16.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_16_x47530832_w30_s624.csv, eval_metric=0.1737446761517055, minimum_width=16.0, minimum_spacing=16.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_16_x47530832_w38_s404.csv, eval_metric=-0.7425971278101846, minimum_width=16.0, minimum_spacing=16.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_16_x47530832_w46_s770.csv, eval_metric=-0.4813910290157629, minimum_width=16.0, minimum_spacing=16.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_16_x47530832_w54_s109.csv, eval_metric=-0.4936829182749329, minimum_width=16.0, minimum_spacing=16.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_16_x47530832_w62_s193.csv, eval_metric=-0.2084784600258205, minimum_width=16.0, minimum_spacing=16.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_16_x47530832_w6_s445.csv, eval_metric=-0.31332108120334673, minimum_width=16.0, minimum_spacing=16.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_16_x47530832_w70_s892.csv, eval_metric=-0.5622193005365728, minimum_width=17.0, minimum_spacing=16.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_16_x47530832_w78_s371.csv, eval_metric=-0.5659943065431322, minimum_width=16.0, minimum_spacing=16.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_18_x47530832_w15_s879.csv, eval_metric=-0.761033915517305, minimum_width=18.0, minimum_spacing=18.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_18_x47530832_w23_s228.csv, eval_metric=-0.8166837487492152, minimum_width=18.0, minimum_spacing=18.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_18_x47530832_w31_s46.csv, eval_metric=-0.6415128693202081, minimum_width=18.0, minimum_spacing=18.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_18_x47530832_w39_s593.csv, eval_metric=-0.30943439383184745, minimum_width=18.0, minimum_spacing=18.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_18_x47530832_w47_s439.csv, eval_metric=-0.1893221094931954, minimum_width=18.0, minimum_spacing=18.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_18_x47530832_w55_s534.csv, eval_metric=-0.5355533890694699, minimum_width=18.0, minimum_spacing=18.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_18_x47530832_w63_s544.csv, eval_metric=-0.482992161922958, minimum_width=18.0, minimum_spacing=18.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_18_x47530832_w71_s711.csv, eval_metric=-0.44444113647084005, minimum_width=18.0, minimum_spacing=18.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_18_x47530832_w79_s267.csv, eval_metric=-0.6715211094040878, minimum_width=18.0, minimum_spacing=18.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_18_x47530832_w7_s311.csv, eval_metric=-0.638876741971049, minimum_width=18.0, minimum_spacing=18.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_20_x47530832_w16_s416.csv, eval_metric=-1.2705391946134186, minimum_width=20.0, minimum_spacing=20.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_20_x47530832_w24_s997.csv, eval_metric=-0.8023880544624831, minimum_width=20.0, minimum_spacing=20.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_20_x47530832_w32_s982.csv, eval_metric=-0.2952624539101733, minimum_width=20.0, minimum_spacing=20.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_20_x47530832_w40_s988.csv, eval_metric=-1.4415782625509042, minimum_width=20.0, minimum_spacing=20.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_20_x47530832_w48_s996.csv, eval_metric=-0.8040016995143894, minimum_width=20.0, minimum_spacing=20.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_20_x47530832_w56_s972.csv, eval_metric=-0.647561097156362, minimum_width=20.0, minimum_spacing=20.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_20_x47530832_w64_s997.csv, eval_metric=-0.6236675053032641, minimum_width=20.0, minimum_spacing=20.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_20_x47530832_w72_s846.csv, eval_metric=-0.5930909714313632, minimum_width=20.0, minimum_spacing=21.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_20_x47530832_w80_s599.csv, eval_metric=-0.9489641899195947, minimum_width=20.0, minimum_spacing=20.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_20_x47530832_w8_s938.csv, eval_metric=-0.7098935735285322, minimum_width=20.0, minimum_spacing=22.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_6_x47530832_w17_s412.csv, eval_metric=0.7151214205905293, minimum_width=6.0, minimum_spacing=6.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_6_x47530832_w1_s796.csv, eval_metric=0.8119378389380489, minimum_width=6.0, minimum_spacing=6.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_6_x47530832_w25_s986.csv, eval_metric=0.8577128132337113, minimum_width=6.0, minimum_spacing=6.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_6_x47530832_w33_s242.csv, eval_metric=0.833615705770993, minimum_width=6.0, minimum_spacing=6.0, binarization_degree=1.0
