path=challenges/diffractive_splitter/solutions/240413_mfschubert_00c5efdb19342b6e85a16561ff8e9db4b02d12d3e8ae3e21a219384498aa29e2.json, eval_metric=0.5711575595423161, minimum_width=12.0, minimum_spacing=12.0, average_efficiency=0.014096708664672143, binarization_degree=1.0, min_efficiency=0.012022921604766396, total_efficiency=0.690738724568935, uniformity_error=0.173120690607357, uniformity_error_without_zeroth_order=0.173120690607357, zeroth_order_efficiency=0.014248011592241866, zeroth_order_error=0.010733209514991569
path=challenges/diffractive_splitter/solutions/240413_mfschubert_06adae8bdb401cead892bcaca64a0ec6628ac7814be5640e58cb3c898223858b.json, eval_metric=0.5723095783437234, minimum_width=12.0, minimum_spacing=12.0, average_efficiency=0.013974593007465282, binarization_degree=1.0, min_efficiency=0.01164697332644025, total_efficiency=0.6847550573657989, uniformity_error=0.16421270323237153, uniformity_error_without_zeroth_order=0.14987790523720917, zeroth_order_efficiency=0.01164697332644025, zeroth_order_error=-0.16656082075389309
path=challenges/diffractive_splitter/solutions/240413_mfschubert_101ce97dd7a2f976fed9ea05487af808799ddd6aa73560c577dd044178af31e6.json, eval_metric=0.580097099917303, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.012590535257785175, binarization_degree=1.0, min_efficiency=0.011799834983393691, total_efficiency=0.6169362276314736, uniformity_error=0.059713023914323315, uniformity_error_without_zeroth_order=0.05323465895059544, zeroth_order_efficiency=0.013298534521872154, zeroth_order_error=0.0562326580714031
path=challenges/diffractive_splitter/solutions/240413_mfschubert_22e736280b2671341cc213d1d3fde9a684706a59e1059cf8038fc41dc703e0e7.json, eval_metric=0.51522960267217, minimum_width=17.0, minimum_spacing=17.0, average_efficiency=0.01429813119928324, binarization_degree=1.0, min_efficiency=0.011842115436733162, total_efficiency=0.7006084287648788, uniformity_error=0.26459691102991456, uniformity_error_without_zeroth_order=0.26459691102991456, zeroth_order_efficiency=0.017700613329982986, zeroth_order_error=0.23796691212837043
path=challenges/diffractive_splitter/solutions/240413_mfschubert_40a0afd0e60c50eb9ea6734970519c31642bd49146c0343d4cd77bfcd6df8031.json, eval_metric=0.5840377555226623, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.013857744320154524, binarization_degree=1.0, min_efficiency=0.011844787574040713, total_efficiency=0.6790294716875718, uniformity_error=0.13989336269724692, uniformity_error_without_zeroth_order=0.13989336269724692, zeroth_order_efficiency=0.013981311856095677, zeroth_order_error=0.008916857829555805
path=challenges/diffractive_splitter/solutions/240413_mfschubert_40b6a186a2ad09fe4a4a9e8fbce60f5d38e39bf11f17102c0005612d8eb6df7b.json, eval_metric=0.5963981419901039, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.013072273904367703, binarization_degree=1.0, min_efficiency=0.012194717538951195, total_efficiency=0.6405414213140175, uniformity_error=0.0689155733806525, uniformity_error_without_zeroth_order=0.0689155733806525, zeroth_order_efficiency=0.012947932013165925, zeroth_order_error=-0.00951187927298802
path=challenges/diffractive_splitter/solutions/240413_mfschubert_430934d8a6d7689f77bb631be35a1674aec5cc438a535df334cf9c403ab18f0d.json, eval_metric=0.5537438493776778, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.014909650726011484, binarization_degree=1.0, min_efficiency=0.011717130823822553, total_efficiency=0.7305728855745628, uniformity_error=0.24204160828911264, uniformity_error_without_zeroth_order=0.2228159072063009, zeroth_order_efficiency=0.019200478775760556, zeroth_order_error=0.28778863627323364
path=challenges/diffractive_splitter/solutions/240413_mfschubert_567f6941f1e2105cbe502b4cc827157abd9c77149af744021280e9a42a548eb0.json, eval_metric=0.5649478127550562, minimum_width=12.0, minimum_spacing=12.0, average_efficiency=0.013770311502965375, binarization_degree=1.0, min_efficiency=0.01164603133416175, total_efficiency=0.6747452636453034, uniformity_error=0.16272430027454762, uniformity_error_without_zeroth_order=0.16272430027454762, zeroth_order_efficiency=0.014197662143167943, zeroth_order_error=0.031034202829074705
path=challenges/diffractive_splitter/solutions/240413_mfschubert_68b58d50101483e7406e717da1851ea4fdfe26b7f68b32343a89971080326e17.json, eval_metric=0.5673001963694734, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.013879209990932296, binarization_degree=1.0, min_efficiency=0.011591290840126845, total_efficiency=0.6800812895556826, uniformity_error=0.16583472434580948, uniformity_error_without_zeroth_order=0.14343625364090767, zeroth_order_efficiency=0.011591290840126845, zeroth_order_error=-0.16484505618837217
path=challenges/diffractive_splitter/solutions/240413_mfschubert_6e1c97d0afb125adbe0341e98259244a24b9b12fe28202518d3e34ea64e1d49f.json, eval_metric=0.5640796378404974, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.014196585282143173, binarization_degree=1.0, min_efficiency=0.011529068303529545, total_efficiency=0.6956326788250156, uniformity_error=0.18911279614799387, uniformity_error_without_zeroth_order=0.18911279614799387, zeroth_order_efficiency=0.015145467228380446, zeroth_order_error=0.06683874518971833
path=challenges/diffractive_splitter/solutions/240413_mfschubert_6ebeb726cac83d0bc269e3e6b517724c191b3fdbbd7fba66493f07efa8c5516d.json, eval_metric=0.5828652054999722, minimum_width=12.0, minimum_spacing=12.0, average_efficiency=0.01392480723500033, binarization_degree=1.0, min_efficiency=0.011778714725395574, total_efficiency=0.6823155545150162, uniformity_error=0.14575418713080995, uniformity_error_without_zeroth_order=0.14575418713080995, zeroth_order_efficiency=0.014031187949281758, zeroth_order_error=0.007639654358304986
path=challenges/diffractive_splitter/solutions/240413_mfschubert_79a2e3074c3c62cb650b283bb6781319676e0df8f872436b386c42bde5993909.json, eval_metric=0.5087915870926801, minimum_width=19.0, minimum_spacing=17.0, average_efficiency=0.014328766610608347, binarization_degree=1.0, min_efficiency=0.011103238171951798, total_efficiency=0.702109563919809, uniformity_error=0.2753387601613821, uniformity_error_without_zeroth_order=0.22929441311746568, zeroth_order_efficiency=0.019540702918162223, zeroth_order_error=0.363739353790242
path=challenges/diffractive_splitter/solutions/240413_mfschubert_7b1fc827bd02f848a40173bbf6a8469d7e2ec825798fde4be5eb7cbc4dab3026.json, eval_metric=0.5771925396143818, minimum_width=10.0, minimum_spacing=10.0, average_efficiency=0.013711298849859825, binarization_degree=1.0, min_efficiency=0.012008910878048791, total_efficiency=0.6718536436431315, uniformity_error=0.14089542406207572, uniformity_error_without_zeroth_order=0.14089542406207572, zeroth_order_efficiency=0.013514629942355956, zeroth_order_error=-0.014343565088720976
path=challenges/diffractive_splitter/solutions/240413_mfschubert_8a5f32b51bc2d54581e63e64ba1b476bd82f8516e911bd45475340b871c1ebda.json, eval_metric=0.5049631746487597, minimum_width=19.0, minimum_spacing=17.0, average_efficiency=0.014337657109238552, binarization_degree=1.0, min_efficiency=0.011747254874161782, total_efficiency=0.7025451983526891, uniformity_error=0.28123745513771203, uniformity_error_without_zeroth_order=0.19356208360441113, zeroth_order_efficiency=0.02094018817119754, zeroth_order_error=0.46050278728625815
path=challenges/diffractive_splitter/solutions/240413_mfschubert_8d45bcf673d167db063065dab04b82a527a1e39e816e984c4ff3b4597ddc525a.json, eval_metric=0.5388501339468347, minimum_width=22.0, minimum_spacing=17.0, average_efficiency=0.014346031801982689, binarization_degree=1.0, min_efficiency=0.011459335624077359, total_efficiency=0.7029555582971518, uniformity_error=0.23345063910988656, uniformity_error_without_zeroth_order=0.22048905845781203, zeroth_order_efficiency=0.01843915809006737, zeroth_order_error=0.2853141791808235
