path=challenges/metagrating/solutions/230803_jiaqui-jiang_00.csv, eval_metric=0.9563533184482785, minimum_width=5.0, minimum_spacing=5.0, average_efficiency=0.9563533184482785, binarization_degree=1.0, min_efficiency=0.9563533184482785
path=challenges/metagrating/solutions/230803_jiaqui-jiang_01.csv, eval_metric=0.9346352887798032, minimum_width=5.0, minimum_spacing=1.0, average_efficiency=0.9346352887798032, binarization_degree=1.0, min_efficiency=0.9346352887798032
path=challenges/metagrating/solutions/230803_jiaqui-jiang_02.csv, eval_metric=0.9472500720827935, minimum_width=5.0, minimum_spacing=7.0, average_efficiency=0.9472500720827935, binarization_degree=1.0, min_efficiency=0.9472500720827935
path=challenges/metagrating/solutions/230803_oskooi_00.csv, eval_metric=0.9129076694112834, minimum_width=4.0, minimum_spacing=6.0, average_efficiency=0.9129076694112834, binarization_degree=1.0, min_efficiency=0.9129076694112834
path=challenges/metagrating/solutions/230803_oskooi_01.csv, eval_metric=0.8283796700053724, minimum_width=7.0, minimum_spacing=3.0, average_efficiency=0.8283796700053724, binarization_degree=1.0, min_efficiency=0.8283796700053724
path=challenges/metagrating/solutions/240710_mfschubert_0d8ef30b31d71674d4461eb907a1f77d1ca7acb81c503d9cf2b978924f412691.json, eval_metric=0.8324305242382706, minimum_width=15.0, minimum_spacing=15.0, average_efficiency=0.8324305242382706, binarization_degree=1.0, min_efficiency=0.8324305242382706
path=challenges/metagrating/solutions/240710_mfschubert_1957ef7bdfef2166f56eb42024cc853026147022b6748737000460fd1dfd4518.json, eval_metric=0.9822423651424687, minimum_width=7.0, minimum_spacing=8.0, average_efficiency=0.9822423651424687, binarization_degree=1.0, min_efficiency=0.9822423651424687
path=challenges/metagrating/solutions/240710_mfschubert_2c55cd2673d2f42384769b4ac485b18a40a3ad8b48b5aa746b63328705be28d7.json, eval_metric=0.977309304858083, minimum_width=7.0, minimum_spacing=7.0, average_efficiency=0.977309304858083, binarization_degree=1.0, min_efficiency=0.977309304858083
path=challenges/metagrating/solutions/240710_mfschubert_52e918ac1c6e90bb23d24f8bb3714a582e4fe897675321a343e7fd9b48a34b07.json, eval_metric=0.960167738698544, minimum_width=11.0, minimum_spacing=11.0, average_efficiency=0.960167738698544, binarization_degree=1.0, min_efficiency=0.960167738698544
path=challenges/metagrating/solutions/240710_mfschubert_53b4f3731a365123b53030ab203c1f8726a73a30867f9444daedecd93c6b2781.json, eval_metric=0.9556872188262773, minimum_width=14.0, minimum_spacing=9.0, average_efficiency=0.9556872188262773, binarization_degree=1.0, min_efficiency=0.9556872188262773
path=challenges/metagrating/solutions/240710_mfschubert_5a3d0de5694670aed5600a0fe1638b2474349b9a768e9f1b2590591a3c77f8ce.json, eval_metric=0.7590000756246663, minimum_width=15.0, minimum_spacing=15.0, average_efficiency=0.7590000756246663, binarization_degree=1.0, min_efficiency=0.7590000756246663
path=challenges/metagrating/solutions/240710_mfschubert_81761b8145ac0ee2867735ae005ac3c3eb5fa74ba76931ee4ad5429cfee76762.json, eval_metric=0.9636018065091395, minimum_width=11.0, minimum_spacing=7.0, average_efficiency=0.9636018065091395, binarization_degree=1.0, min_efficiency=0.9636018065091395
path=challenges/metagrating/solutions/240710_mfschubert_8cdb8f7dd11dca694d5c5d125c4d0f87f1c3979e959882719daaa824049e1fff.json, eval_metric=0.7630411022816318, minimum_width=13.0, minimum_spacing=13.0, average_efficiency=0.7630411022816318, binarization_degree=0.9754869358482783, min_efficiency=0.7630411022816318
path=challenges/metagrating/solutions/240710_mfschubert_9a24d8d38328554de260fec2fbddf18a7db5b50cef562bc2462253fcac49fe8d.json, eval_metric=0.9925392057517851, minimum_width=5.0, minimum_spacing=5.0, average_efficiency=0.9925392057517851, binarization_degree=1.0, min_efficiency=0.9925392057517851
path=challenges/metagrating/solutions/240710_mfschubert_a33070d2d053e3b278056e6bcd387b552e2cd619f8096ac306c3604386b27fe1.json, eval_metric=0.9385264427057634, minimum_width=15.0, minimum_spacing=18.0, average_efficiency=0.9385264427057634, binarization_degree=1.0, min_efficiency=0.9385264427057634
path=challenges/metagrating/solutions/240710_mfschubert_b835d612db79ca17d7b6798f25f4b59bad277bfbd927e7223ad0360536eafa5c.json, eval_metric=0.9644057347021766, minimum_width=11.0, minimum_spacing=9.0, average_efficiency=0.9644057347021766, binarization_degree=1.0, min_efficiency=0.9644057347021766
