path=challenges/metalens/solutions/230307_raelch_070nm.csv, eval_metric=20.016050215331017, minimum_width=3.0, minimum_spacing=4.0, binarization_degree=1.0
path=challenges/metalens/solutions/230307_raelch_123nm.csv, eval_metric=14.515859653224714, minimum_width=5.0, minimum_spacing=6.0, binarization_degree=1.0
path=challenges/metalens/solutions/230307_raelch_209nm.csv, eval_metric=10.635222144616877, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0
path=challenges/metalens/solutions/230307_raelch_256nm.csv, eval_metric=7.86144817509302, minimum_width=12.0, minimum_spacing=13.0, binarization_degree=1.0
path=challenges/metalens/solutions/230803_mochen4_086nm.csv, eval_metric=14.415286553585188, minimum_width=4.0, minimum_spacing=4.0, binarization_degree=1.0
path=challenges/metalens/solutions/230803_mochen4_117nm.csv, eval_metric=12.380452876936202, minimum_width=5.0, minimum_spacing=6.0, binarization_degree=1.0
path=challenges/metalens/solutions/230803_mochen4_180nm.csv, eval_metric=12.081379787727203, minimum_width=7.0, minimum_spacing=8.0, binarization_degree=1.0
path=challenges/metalens/solutions/230803_mochen4_242nm.csv, eval_metric=10.122236038414098, minimum_width=9.0, minimum_spacing=13.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_24fa46923a2110f16bbb9e9ce2f86da4f4434a9d23e597c79109f657e37eb11f.csv, eval_metric=13.113275885993703, minimum_width=7.0, minimum_spacing=7.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_2b839ac48f77ac3fa9730c66ffed1f325833df4544a1b5f11beda392a0ad7438.csv, eval_metric=18.74876313376966, minimum_width=5.0, minimum_spacing=5.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_3e8e8a9ca76296ecb6fbe3a0e345d284d18c1df095a8b749ea49b01174ed8e80.csv, eval_metric=15.285433130064892, minimum_width=7.0, minimum_spacing=7.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_41d2d6e37d12de6d30ef09bd509d0bc5e007edca7cef209fc585abad023876ae.csv, eval_metric=10.388110004537218, minimum_width=11.0, minimum_spacing=11.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_42d5c87063fd770d514c3810a26c63ea3776aff2bc20d9be35583f50ee3905fd.csv, eval_metric=17.245945952036458, minimum_width=5.0, minimum_spacing=5.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_48ea55c2cc117b2b73819ab76cfc9061c2871dd4306841a12f4856fac1e50714.csv, eval_metric=13.82723756197352, minimum_width=7.0, minimum_spacing=7.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_7746163c5a61c2797ee59650e3f1eab62bee6e4f943d003724de7370ca753945.csv, eval_metric=14.49988155616288, minimum_width=7.0, minimum_spacing=7.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_931bd1eea3064a1583a9ad2c34436b1fff61bc68f6f7fa1fd7ad9f9a0c25f458.csv, eval_metric=18.163863796112114, minimum_width=5.0, minimum_spacing=5.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_ad2b28c34ef8df60a1e2907eeca0634eb5cf648c9de16e74c33a094bfdaaf11d.csv, eval_metric=12.18978895479443, minimum_width=9.0, minimum_spacing=9.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_c38ec086a457721a1164a2e39dcf3e7c41457dede128c6a3063fbc352f7d41f0.csv, eval_metric=18.36181693719527, minimum_width=5.0, minimum_spacing=5.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_db8d92fdcb939ae71354a9de63e30298eb645ff4f793fc750d3635030bec0fac.csv, eval_metric=11.421753787911276, minimum_width=11.0, minimum_spacing=11.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_f5f4dcae1e8a3437ef2665417376daf2e5c4d5fc79098c9c95157a6dc342ce49.csv, eval_metric=14.595678721882596, minimum_width=11.0, minimum_spacing=11.0, binarization_degree=1.0
path=challenges/metalens/solutions/240709_mfschubert_f6c111cb78af0e178195cc2e762aea834ed93ada2826219a04c2edb2684a5979.csv, eval_metric=12.445571119953332, minimum_width=9.0, minimum_spacing=9.0, binarization_degree=1.0
