path=challenges/photon_extractor/solutions/201218_chakravarthi_00.csv, eval_metric=11.278201167034577, minimum_width=1.0, minimum_spacing=1.0, binarization_degree=0.12, enhancement_dos_total=1.2789752948437103, enhancement_flux_total=11.278201167034577
path=challenges/photon_extractor/solutions/240118_mfschubert_13894a93b5b9d7d32c8e869b0a10b4002dd64974d6fe9141cdab0b471ec8d98d.json, eval_metric=11.5947317764896, minimum_width=16.0, minimum_spacing=17.0, binarization_degree=1.0, enhancement_dos_total=1.0906073796325002, enhancement_flux_total=11.5947317764896
path=challenges/photon_extractor/solutions/240118_mfschubert_1dda77f3f2a5b5c167f7a05b4ba5a0e601f4b97a973f11304a086f364e031e7e.json, eval_metric=11.337674120973634, minimum_width=16.0, minimum_spacing=16.0, binarization_degree=1.0, enhancement_dos_total=1.0875456560304082, enhancement_flux_total=11.337674120973634
path=challenges/photon_extractor/solutions/240118_mfschubert_70cd37dc727597c2dc6f33ab1ee202c3cb65c489900240837e154475ae227131.json, eval_metric=12.244439256745755, minimum_width=10.0, minimum_spacing=16.0, binarization_degree=1.0, enhancement_dos_total=1.1509925642545114, enhancement_flux_total=12.244439256745755
path=challenges/photon_extractor/solutions/240118_mfschubert_8569349cf4b44541ee37aa3eeed0127b70e29fb52674a4e97370fe7d95323bc7.json, eval_metric=12.089403418394118, minimum_width=16.0, minimum_spacing=17.0, binarization_degree=1.0, enhancement_dos_total=1.1105117149184516, enhancement_flux_total=12.089403418394118
path=challenges/photon_extractor/solutions/240118_mfschubert_92aac5ee59b87b981bc0fe9cf475c25dfa94c16ae7d33a46a7b936ca152047af.json, eval_metric=12.523938221815808, minimum_width=10.0, minimum_spacing=16.0, binarization_degree=1.0, enhancement_dos_total=1.165171107319415, enhancement_flux_total=12.523938221815808
path=challenges/photon_extractor/solutions/240118_mfschubert_94f960998a248fbf49015f50850e5d519424e0f9cbe016bdde4c6f31c49414dc.json, eval_metric=13.93144957387209, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0, enhancement_dos_total=1.2441432406526631, enhancement_flux_total=13.93144957387209
path=challenges/photon_extractor/solutions/240118_mfschubert_ce21636d9cb1bfbe343a8c60cb0e2b90c9355cf66358455c27fea207b5cce9ba.json, eval_metric=12.864434207789918, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0, enhancement_dos_total=1.1308173010946703, enhancement_flux_total=12.864434207789918
path=challenges/photon_extractor/solutions/240118_mfschubert_d6d223a47487022c69063a84ad1a0839c46376eb3b9f590e09051f24f8ab9cb0.json, eval_metric=13.085472520327, minimum_width=10.0, minimum_spacing=11.0, binarization_degree=1.0, enhancement_dos_total=1.1679697571287546, enhancement_flux_total=13.085472520327
path=challenges/photon_extractor/solutions/240118_mfschubert_fcdbc228675c4e22ded365c2a958c3abd80061b547018694ee95167324150a59.json, eval_metric=12.985111785085884, minimum_width=10.0, minimum_spacing=16.0, binarization_degree=1.0, enhancement_dos_total=1.1518782299468817, enhancement_flux_total=12.985111785085884
path=challenges/photon_extractor/solutions/250728_tidy3d_00.csv, eval_metric=13.29375659870953, minimum_width=4.0, minimum_spacing=4.0, binarization_degree=1.0, enhancement_dos_total=1.2619580166311335, enhancement_flux_total=13.29375659870953
